user_id,visit_id,visit_start_time,page_views,cart_adds,purchase,campaign_name,impression,click
439,73d7e8,"2020-03-08 07:12:11",5,2,1,"Half Off - Treat Your Shellf(ish)",0,0
41,6c312a,"2020-02-05 15:40:41",8,2,1,"Half Off - Treat Your Shellf(ish)",0,0
99,484cf5,"2020-03-06 20:50:12",8,2,1,"Half Off - Treat Your Shellf(ish)",0,0
476,280969,"2020-01-21 20:03:34",7,1,1,"25% Off - Living The Lux Life",0,0
360,3a588b,"2020-02-27 04:00:09",5,2,0,"Half Off - Treat Your Shellf(ish)",0,0
194,373a4b,"2020-02-21 09:54:32",1,0,0,"Half Off - Treat Your Shellf(ish)",0,0
342,a38b2f,"2020-02-20 02:59:58",6,3,0,"Half Off - Treat Your Shellf(ish)",0,0
118,6fa366,"2020-01-19 16:19:26",7,3,0,"25% Off - Living The Lux Life",0,0
469,064835,"2020-02-25 09:48:46",7,1,0,"Half Off - Treat Your Shellf(ish)",0,0
290,252236,"2020-02-12 02:38:57",6,2,1,"Half Off - Treat Your Shellf(ish)",0,0
