month_year,interest_id,interest_name,max_com
2019-05-01,45524,"Mowing Equipment Shoppers",1.51
2019-05-01,4918,"Gastrointestinal Researchers",1.52
2019-06-01,35742,"Disney Fans",1.52
2019-04-01,44449,"United Nations Donors",1.52
2019-06-01,34083,"New York Giants Fans",1.52
2019-05-01,20768,"Beer Aficionados",1.52
2019-05-01,39336,"Philadelphia 76ers Fans",1.52
2019-05-01,6127,"LED Lighting Shoppers",1.53
2019-05-01,36877,"Crochet Enthusiasts",1.53
2019-06-01,6314,"Online Directory Searchers",1.53
